user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
julienmagic,6650502100487159814,6952572637193227525,Apple 🍎 #apple #fly #magic #trick #spooky,1618771965,17,https://www.tiktok.com/@julienmagic/video/6952572637193227525?lang=en,775,3,37,24000
bignose_daniel,18072786,6947714538875718918,So true😂 #relatable #funny #comedy #fyp,1617640851,12,https://www.tiktok.com/@bignose_daniel/video/6947714538875718918?lang=en,14300,691,473,263300
andrigislason,167759091522691072,6939814661965565190,New customer😍 #horse #fyp #foryou #satisfying #hoofpicking #farrierlife #work #hooves,1615801526,59,https://www.tiktok.com/@andrigislason/video/6939814661965565190?lang=en,99800,1020,2839,1000000
lisaandlena,6804783597552239621,6945524245132741893,We totally remember all of our choreographies...😅,1617130883,13,https://www.tiktok.com/@lisaandlena/video/6945524245132741893?lang=en,3400000,2405,6738,14500000
td3.gaming,6778495336069399558,6925893289866480901,#fypツ,1612560203,15,https://www.tiktok.com/@td3.gaming/video/6925893289866480901?lang=en,911700,41800,10300,10500000
miakhalifa,6780564068844880902,6953033206224473349,WHAT !!!!!!! HAPPENED !!!!!! TO THE ORGINAL PLOT OF THE MOVIE !!!!!!,1618879201,7,https://www.tiktok.com/@miakhalifa/video/6953033206224473349?lang=en,216800,1148,7055,1400000
daniel.ethadpoor,6862032809717433350,6940257092989111558,#hair #hairstyle #haircut #barber #barbershop #beard #mood #model #modeling #fashion #style #stylish #sverige #stockholm #italia #israel #london #usa,1615904530,34,https://www.tiktok.com/@daniel.ethadpoor/video/6940257092989111558?lang=en,16600,181,157,913500
jejjeman11,6909916390364775429,6952557413601971461,,1618768420,9,https://www.tiktok.com/@jejjeman11/video/6952557413601971461?lang=en,14300,1183,220,192000
gudomligmat,6892570941885907973,6949552099231337734,Snabba och enkla mozzarellafyllda potatisar 🥔 #fördig #foryou #fyp #potatis,1618068692,16,https://www.tiktok.com/@gudomligmat/video/6949552099231337734?lang=en,62700,5708,450,606500
bellapoarch,6748458643983238149,6922536239619001605,🦙Paca always looking for trouble👿,1611778579,15,https://www.tiktok.com/@bellapoarch/video/6922536239619001605?lang=en,7600000,25800,60200,48900000
respect...content,6931680663511532550,6943573371946798342,#fyp #foryoupage #foryou #respect #fyp #epic,1616676663,10,https://www.tiktok.com/@respect...content/video/6943573371946798342?lang=en,367,0,3,9541
sofiaisabell87,6655335133137371142,6948796657928572165,Torsdag = Kladdkaka💕💕 #kladdkaka #chocolatecake #fyp #xyzbca #baking #foryou #momsoftiktok,1617892802,59,https://www.tiktok.com/@sofiaisabell87/video/6948796657928572165?lang=en,1052,191,34,27300
clarahanna95,6775472564548404229,6939268271292140806,Life hack💁🏼‍♀️ #caprisun #drink #fyp,1615674301,35,https://www.tiktok.com/@clarahanna95/video/6939268271292140806?lang=en,153200,3393,1633,941700
joelle.shahoud,6754820068858774534,6949166183367118086,#duett med @ismailalabrass #bitcoin #bitcoinfun #cryptocurrency #الخال💚 #الخال #جيش_الخال_💚💚💚 #triss #foryoupage #explore #trend,1617978839,59,https://www.tiktok.com/@joelle.shahoud/video/6949166183367118086?lang=en,2535,175,38,62500
camillahamid,6795450707271189510,6924374665666383110,Ska jag posta fler matvideos? 🥺🙈❤️ #bakedfeta #pasta #mat #food #fördig #foryou #recept,1612206621,40,https://www.tiktok.com/@camillahamid/video/6924374665666383110?lang=en,191700,17600,1861,2000000
notandrewyt,6733280877613286405,6943347605271268614,I think my humor is broken💀 #foryou #fyp #foryoupage #train #crash #brokenhumor #humor #memes #funnymemes,1616624095,14,https://www.tiktok.com/@notandrewyt/video/6943347605271268614?lang=en,38700,673,732,338800
mommohawa,6808988977837114374,6931343447617981702,Överlycklig ska aldrig mer panta en i taget. #panta#pantamera#foryou#fyp#fördig#citygross#häggvik#enkelt,1613829168,57,https://www.tiktok.com/@mommohawa/video/6931343447617981702?lang=en,10700,296,73,228000
lisaandlena,6804783597552239621,6951411277860261125,Twin Edition... 🤪,1618501566,14,https://www.tiktok.com/@lisaandlena/video/6951411277860261125?lang=en,410200,719,2397,2400000
respect.boss15,6867943312944284677,6947963768638819590,#56 #respect #fyp,1617698886,21,https://www.tiktok.com/@respect.boss15/video/6947963768638819590?lang=en,122100,344,133,1700000
gudomligmat,6892570941885907973,6949064865721896198,🥭 🧋 🙂  #fördig #foryou #fyp,1617955255,14,https://www.tiktok.com/@gudomligmat/video/6949064865721896198?lang=en,152600,2783,1955,1500000
