user_name,user_id,video_id,music,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
bignose_daniel,18072786,6947714538875718918,original sound,So true😂 #relatable #funny #comedy #fyp,1617640851,12,https://www.tiktok.com/@bignose_daniel/video/6947714538875718918?lang=en,14300,692,474,263700
td3.gaming,6778495336069399558,6925893289866480901,Airplane be like,#fypツ,1612560203,15,https://www.tiktok.com/@td3.gaming/video/6925893289866480901?lang=en,911700,41800,10300,10500000
julienmagic,6650502100487159814,6952572637193227525,Myself,Apple 🍎 #apple #fly #magic #trick #spooky,1618771965,17,https://www.tiktok.com/@julienmagic/video/6952572637193227525?lang=en,779,3,37,24200
lisaandlena,6804783597552239621,6945524245132741893,Love Me,We totally remember all of our choreographies...😅,1617130883,13,https://www.tiktok.com/@lisaandlena/video/6945524245132741893?lang=en,3400000,2405,6739,14500000
daniel.ethadpoor,6862032809717433350,6940257092989111558,original sound,#hair #hairstyle #haircut #barber #barbershop #beard #mood #model #modeling #fashion #style #stylish #sverige #stockholm #italia #israel #london #usa,1615904530,34,https://www.tiktok.com/@daniel.ethadpoor/video/6940257092989111558?lang=en,16600,181,157,913500
miakhalifa,6780564068844880902,6953033206224473349,original sound,WHAT !!!!!!! HAPPENED !!!!!! TO THE ORGINAL PLOT OF THE MOVIE !!!!!!,1618879201,7,https://www.tiktok.com/@miakhalifa/video/6953033206224473349?lang=en,217100,1149,7066,1400000
respect.boss15,6867943312944284677,6947963768638819590,Write This Down(DJ弹鼓版),#56 #respect #fyp,1617698886,21,https://www.tiktok.com/@respect.boss15/video/6947963768638819590?lang=en,122100,344,133,1700000
jejjeman11,6909916390364775429,6952557413601971461,originalljud,,1618768420,9,https://www.tiktok.com/@jejjeman11/video/6952557413601971461?lang=en,14300,1183,220,192100
clarahanna95,6775472564548404229,6939268271292140806,Drink - Dirty,Life hack💁🏼‍♀️ #caprisun #drink #fyp,1615674301,35,https://www.tiktok.com/@clarahanna95/video/6939268271292140806?lang=en,153300,3396,1633,942300
gudomligmat,6892570941885907973,6949552099231337734,Pure Imagination,Snabba och enkla mozzarellafyllda potatisar 🥔 #fördig #foryou #fyp #potatis,1618068692,16,https://www.tiktok.com/@gudomligmat/video/6949552099231337734?lang=en,62800,5710,452,607200
bellapoarch,6748458643983238149,6922536239619001605,original sound,🦙Paca always looking for trouble👿,1611778579,15,https://www.tiktok.com/@bellapoarch/video/6922536239619001605?lang=en,7600000,25800,60200,48900000
camillahamid,6795450707271189510,6924374665666383110,Aesthetic,Ska jag posta fler matvideos? 🥺🙈❤️ #bakedfeta #pasta #mat #food #fördig #foryou #recept,1612206621,40,https://www.tiktok.com/@camillahamid/video/6924374665666383110?lang=en,191800,17600,1861,2000000
visam.0,6814875215454733317,6949604226590887173,Oh No,Breakfast for champions! #Nutella #candy #chocolate #sandwish #oboy #toastking #frukost #frulle,1618080828,59,https://www.tiktok.com/@visam.0/video/6949604226590887173?lang=en,4303,14,25,94100
mommohawa,6808988977837114374,6931343447617981702,originalljud,Överlycklig ska aldrig mer panta en i taget. #panta#pantamera#foryou#fyp#fördig#citygross#häggvik#enkelt,1613829168,57,https://www.tiktok.com/@mommohawa/video/6931343447617981702?lang=en,10700,296,73,228000
memendrawing_art,6635594955501780998,6921054246615928070,original sound,Besvara @bayram.sahin no problem#fyp #foryou #foryoupage #russia #country #funny #procreate #likes #4u,1611433527,11,https://www.tiktok.com/@memendrawing_art/video/6921054246615928070?lang=en,29100,22,5961,326500
rezdar,6641489808148791302,6939134768269298950,One Touch,Är det okej att smaka eller är det att snatta?! #hemmakväll #samarbete #godis,1615643219,59,https://www.tiktok.com/@rezdar/video/6939134768269298950?lang=en,105600,1080,1188,1000000
add3.05,6819260300954092549,6949904384776031493,Picasso,🤣🤣🤣,1618150715,20,https://www.tiktok.com/@add3.05/video/6949904384776031493?lang=en,10900,494,171,163400
